use,1,1,0,1,0,0,0,0,0
ADAMTSL2,adamts-like protein 2 ,metalloprotease,NA,NA,NA,NA,NA,gene,NA
ADCY4,adenylate cyclase type 4 ,adenylate cyclase,NA,NA,NA,NA,NA,gene,NA
ADCYAP1R1,pituitary adenylate cyclase-activating polypeptide type i receptor ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
ADGRA2,adhesion g protein-coupled receptor a2 ,g-protein coupled receptor,NA,NA,NA,NA,NA,gene,NA
ADGRA3,adhesion g protein-coupled receptor a3 ,g-protein coupled receptor,NA,NA,NA,NA,NA,gene,NA
ADGRD1,adhesion g-protein coupled receptor d1 ,g-protein coupled receptor,NA,NA,NA,NA,NA,gene,NA
ADGRF5,adhesion g protein-coupled receptor f5 ,g-protein coupled receptor,NA,NA,NA,NA,NA,gene,NA
ADGRG5,adhesion g-protein coupled receptor g5 ,g-protein coupled receptor,NA,NA,NA,NA,NA,gene,NA
ADGRL4,adhesion g protein-coupled receptor l4 ,g-protein coupled receptor,NA,NA,NA,NA,NA,gene,NA
ADRA1D,NA,NA,NA,NA,NA,NA,NA,gene,NA
ADRA2A,alpha-2a adrenergic receptor ,g-protein coupled receptor,NA,NA,NA,NA,NA,gene,NA
AEBP1,adipocyte enhancer-binding protein 1 ,protease,NA,NA,NA,NA,NA,gene,NA
AGAP1,"arf-gap with gtpase, ank repeat and ph domain-containing protein 1 ",gtpase-activating protein,NA,NA,NA,NA,NA,gene,NA
AGAP2,"arf-gap with gtpase, ank repeat and ph domain-containing protein 2 ",gtpase-activating protein,NA,NA,NA,NA,NA,gene,NA
AGTR1,type-1 angiotensin ii receptor ,g-protein coupled receptor,NA,NA,NA,NA,NA,gene,NA
AIF1,allograft inflammatory factor 1 ,calmodulin-related,NA,NA,NA,NA,NA,gene,NA
AIM2,interferon-inducible protein aim2 ,dna-binding transcription factor,NA,NA,NA,NA,NA,gene,NA
AKAP5,a-kinase anchor protein 5 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
AKNA,microtubule organization protein akna ,NA,NA,NA,NA,NA,NA,gene,NA
ALOX5,polyunsaturated fatty acid 5-lipoxygenase ,oxygenase,NA,NA,NA,NA,NA,gene,NA
ALOX5AP,arachidonate 5-lipoxygenase-activating protein ,transferase,NA,NA,NA,NA,NA,gene,NA
ALPK3,alpha-protein kinase 3 ,non-receptor serine/threonine protein kinase,NA,NA,NA,NA,NA,gene,NA
ANGPTL1,angiopoietin-related protein 1 ,intercellular signal molecule,NA,NA,NA,NA,NA,gene,NA
ANKRD36BP2,NA,NA,NA,NA,NA,NA,NA,gene,NA
ANTXR1,anthrax toxin receptor 1 ,cell adhesion molecule,NA,NA,NA,NA,NA,gene,NA
AOC3,membrane primary amine oxidase ,oxidase,NA,NA,NA,NA,NA,gene,NA
AOX1,aldehyde oxidase ,oxidoreductase,NA,NA,NA,NA,NA,gene,NA
APLNR,apelin receptor ,g-protein coupled receptor,NA,NA,NA,NA,NA,gene,NA
APOBEC3D,dna dc-du-editing enzyme apobec-3d ,rna processing factor,NA,NA,NA,NA,NA,gene,NA
APOBEC3G,dna dc-du-editing enzyme apobec-3g ,rna processing factor,NA,NA,NA,NA,NA,gene,NA
APOBEC3H,dna dc-du-editing enzyme apobec-3h ,rna processing factor,NA,NA,NA,NA,NA,gene,NA
APOL6,apolipoprotein l6 ,apolipoprotein,NA,NA,NA,NA,NA,gene,NA
AQP1,aquaporin-1 ,transporter,NA,NA,NA,NA,NA,gene,NA
ARHGAP15,rho gtpase-activating protein 15 ,gtpase-activating protein,NA,NA,NA,NA,NA,gene,NA
ARHGAP25,rho gtpase-activating protein 25 ,gtpase-activating protein,NA,NA,NA,NA,NA,gene,NA
ARHGAP30,rho gtpase-activating protein 30 ,gtpase-activating protein,NA,NA,NA,NA,NA,gene,NA
ARHGAP4,rho gtpase-activating protein 4 ,gtpase-activating protein,NA,NA,NA,NA,NA,gene,NA
ARHGAP45,rho gtpase-activating protein 45 ,gtpase-activating protein,NA,NA,NA,NA,NA,gene,NA
ARHGAP6,rho gtpase-activating protein 6 ,gtpase-activating protein,NA,NA,NA,NA,NA,gene,NA
ARHGDIB,rho gdp-dissociation inhibitor 2 ,g-protein modulator,NA,NA,NA,NA,NA,gene,NA
ARHGEF15,rho guanine nucleotide exchange factor 15 ,guanyl-nucleotide exchange factor,NA,NA,NA,NA,NA,gene,NA
ARHGEF25,pleckstrin homology domain-containing family g member 4b-related ,guanyl-nucleotide exchange factor,NA,NA,NA,NA,NA,gene,NA
ARHGEF40,pleckstrin homology domain-containing family g member 4b-related ,guanyl-nucleotide exchange factor,NA,NA,NA,NA,NA,gene,NA
ARMH1,armadillo-like helical domain containing protein 1 ,NA,NA,NA,NA,NA,NA,gene,NA
ARRB2,beta-arrestin-2 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
ARRDC5,arrestin domain-containing protein 5 ,ubiquitin-protein ligase,NA,NA,NA,NA,NA,gene,NA
ATP1A2,sodium/potassium-transporting atpase subunit alpha-2 ,primary active transporter,NA,NA,NA,NA,NA,gene,NA
ATP8B4,phospholipid-transporting atpase im-related ,primary active transporter,NA,NA,NA,NA,NA,gene,NA
ATRN,attractin ,basic leucine zipper transcription factor,NA,NA,NA,NA,NA,gene,NA
B2M,beta-2-microglobulin ,major histocompatibility complex protein,NA,NA,NA,NA,NA,gene,NA
BACE1,beta-secretase 1 ,protease,NA,NA,NA,NA,NA,gene,NA
BATF,basic leucine zipper transcriptional factor atf-like ,basic leucine zipper transcription factor,NA,NA,NA,NA,NA,gene,NA
BATF2,basic leucine zipper transcriptional factor atf-like 2 ,basic leucine zipper transcription factor,NA,NA,NA,NA,NA,gene,NA
BCHE,cholinesterase ,esterase,NA,NA,NA,NA,NA,gene,NA
BCL2L14,apoptosis facilitator bcl-2-like protein 14 ,NA,NA,NA,NA,NA,NA,gene,NA
BCL6B,b-cell cll/lymphoma 6 member b protein ,c2h2 zinc finger transcription factor,NA,NA,NA,NA,NA,gene,NA
BCORL1,bcl-6 corepressor-like protein 1 ,NA,NA,NA,NA,NA,NA,gene,NA
BFSP1,filensin ,NA,NA,NA,NA,NA,NA,gene,NA
BHLHE22,class e basic helix-loop-helix protein 22 ,basic helix-loop-helix transcription factor,NA,NA,NA,NA,NA,gene,NA
BHLHE40-AS1,NA,NA,NA,NA,NA,NA,NA,gene,NA
BICC1,protein bicaudal c homolog 1 ,rna metabolism protein,NA,NA,NA,NA,NA,gene,NA
BIN2,bridging integrator 2 ,NA,NA,NA,NA,NA,NA,gene,NA
BIRC3,baculoviral iap repeat-containing protein 3 ,protease inhibitor,NA,NA,NA,NA,NA,gene,NA
BLK,tyrosine-protein kinase blk ,non-receptor tyrosine protein kinase,NA,NA,NA,NA,NA,gene,NA
BMERB1,bmerb domain-containing protein 1 ,NA,NA,NA,NA,NA,NA,gene,NA
BMP5,bone morphogenetic protein 5 ,growth factor,NA,NA,NA,NA,NA,gene,NA
BTK,tyrosine-protein kinase btk ,non-receptor tyrosine protein kinase,NA,NA,NA,NA,NA,gene,NA
BTLA,b- and t-lymphocyte attenuator ,NA,NA,NA,NA,NA,NA,gene,NA
BTN3A1,butyrophilin subfamily 3 member a1 ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
C11orf21,NA,NA,NA,NA,NA,NA,NA,gene,NA
C11orf95,zinc finger translocation-associated protein ,NA,NA,NA,NA,NA,NA,gene,NA
C16orf54,transmembrane protein c16orf54 ,NA,NA,NA,NA,NA,NA,gene,NA
C19orf38,protein hide1 ,NA,NA,NA,NA,NA,NA,gene,NA
C1DP5,NA,NA,NA,NA,NA,NA,NA,gene,NA
C1orf162,transmembrane protein c1orf162 ,NA,NA,NA,NA,NA,NA,gene,NA
C1QA,complement c1q subcomponent subunit a ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
C1QB,complement c1q subcomponent subunit b ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
C1QC,complement c1q subcomponent subunit c ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
C1QTNF3,complement c1q tumor necrosis factor-related protein 3 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
C1QTNF7,complement c1q tumor necrosis factor-related protein 7 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
C2,complement c2 ,NA,NA,NA,NA,NA,NA,gene,NA
C7,complement component c7 ,complement component,NA,NA,NA,NA,NA,gene,NA
C9orf139,NA,NA,NA,NA,NA,NA,NA,gene,NA
CACNA1C,voltage-dependent l-type calcium channel subunit alpha-1c ,voltage-gated ion channel,NA,NA,NA,NA,NA,gene,NA
CALCRL,calcitonin gene-related peptide type 1 receptor ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
CALHM2,calcium homeostasis modulator protein 2 ,voltage-gated ion channel,NA,NA,NA,NA,NA,gene,NA
CALHM6,calcium homeostasis modulator protein 6 ,voltage-gated ion channel,NA,NA,NA,NA,NA,gene,NA
CAMSAP2,calmodulin-regulated spectrin-associated protein 2 ,NA,NA,NA,NA,NA,NA,gene,NA
CARD9,caspase recruitment domain-containing protein 9 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
CARMIL2,"capping protein, arp2/3 and myosin-i linker protein 2 ",protein-binding activity modulator,NA,NA,NA,NA,NA,gene,NA
CARMN,NA,NA,NA,NA,NA,NA,NA,gene,NA
CASP10,caspase-10 ,protease,NA,NA,NA,NA,NA,gene,NA
CASP4LP,NA,NA,NA,NA,NA,NA,NA,gene,NA
CASP5,caspase-5 ,protease,NA,NA,NA,NA,NA,gene,NA
CASS4,cas scaffolding protein family member 4 ,NA,NA,NA,NA,NA,NA,gene,NA
CBARP,voltage-dependent calcium channel beta subunit-associated regulatory protein ,voltage-gated ion channel,NA,NA,NA,NA,NA,gene,NA
CBLN4,cerebellin-4 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
CCDC102B,coiled-coil domain-containing protein 102b ,NA,NA,NA,NA,NA,NA,gene,NA
CCDC170,coiled-coil domain-containing protein 170 ,NA,NA,NA,NA,NA,NA,gene,NA
CCDC8,coiled-coil domain-containing protein 8 ,NA,NA,NA,NA,NA,NA,gene,NA
CCDC85A,coiled-coil domain-containing protein 85a ,NA,NA,NA,NA,NA,NA,gene,NA
CCL14,c-c motif chemokine 14 ,cytokine,NA,NA,NA,NA,NA,gene,NA
CCL19,c-c motif chemokine 19 ,cytokine,NA,NA,NA,NA,NA,gene,NA
CCL25,c-c motif chemokine 25 ,cytokine,NA,NA,NA,NA,NA,gene,NA
CCL3-AS1,NA,NA,NA,NA,NA,NA,NA,gene,NA
CCL4L2,c-c motif chemokine 4-related ,cytokine,NA,NA,NA,NA,NA,gene,NA
CCL8,c-c motif chemokine 8 ,cytokine,NA,NA,NA,NA,NA,gene,NA
CCM2L,cerebral cavernous malformations 2 protein-like ,NA,NA,NA,NA,NA,NA,gene,NA
CCN2,ccn family member 2 ,growth factor,NA,NA,NA,NA,NA,gene,NA
CCR1,c-c chemokine receptor type 1 ,cell adhesion molecule,NA,NA,NA,NA,NA,gene,NA
CCR2,c-c chemokine receptor type 2 ,cell adhesion molecule,NA,NA,NA,NA,NA,gene,NA
CCR4,nocturnin ,mrna polyadenylation factor,NA,NA,NA,NA,NA,gene,NA
CCR5,c-c chemokine receptor type 5 ,cell adhesion molecule,NA,NA,NA,NA,NA,gene,NA
CCR5AS,NA,NA,NA,NA,NA,NA,NA,gene,NA
CCR6,c-c chemokine receptor type 6 ,cell adhesion molecule,NA,NA,NA,NA,NA,gene,NA
CCR7,c-c chemokine receptor type 7 ,cell adhesion molecule,NA,NA,NA,NA,NA,gene,NA
CCR8,c-c chemokine receptor type 8 ,cell adhesion molecule,NA,NA,NA,NA,NA,gene,NA
CCRL2,NA,NA,NA,NA,NA,NA,NA,gene,NA
CD14,monocyte differentiation antigen cd14 ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
CD160,cd160 antigen ,NA,NA,NA,NA,NA,NA,gene,NA
CD19,b-lymphocyte antigen cd19 ,NA,NA,NA,NA,NA,NA,gene,NA
CD200R1,cell surface glycoprotein cd200 receptor 1 ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
CD226,cd226 antigen ,NA,NA,NA,NA,NA,NA,gene,NA
CD244,natural killer cell receptor 2b4 ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
CD27,cd27 antigen ,NA,NA,NA,NA,NA,NA,gene,NA
CD274,programmed cell death 1 ligand 1 ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
CD33,myeloid cell surface antigen cd33 ,immunoglobulin superfamily cell adhesion molecule,NA,NA,NA,NA,NA,gene,NA
CD34,hematopoietic progenitor cell antigen cd34 ,cell adhesion molecule,NA,NA,NA,NA,NA,gene,NA
CD37,leukocyte antigen cd37 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
CD3D,t-cell surface glycoprotein cd3 delta chain ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
CD3E,t-cell surface glycoprotein cd3 epsilon chain ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
CD3G,t-cell surface glycoprotein cd3 gamma chain ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
CD4,t-cell surface glycoprotein cd4 ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
CD40,tumor necrosis factor receptor superfamily member 5 ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
CD40LG,cd40 ligand ,intercellular signal molecule,NA,NA,NA,NA,NA,gene,NA
CD5,t-cell surface glycoprotein cd5 ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
CD53,leukocyte surface antigen cd53 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
CD6,t-cell differentiation antigen cd6 ,serine protease,NA,NA,NA,NA,NA,gene,NA
CD69,early activation antigen cd69 ,defense/immunity protein,NA,NA,NA,NA,NA,gene,NA
CD7,t-cell antigen cd7 ,NA,NA,NA,NA,NA,NA,gene,NA
CD72,b-cell differentiation antigen cd72 ,NA,NA,NA,NA,NA,NA,gene,NA
CD74,hla class ii histocompatibility antigen gamma chain ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
CD79A,b-cell antigen receptor complex-associated protein alpha chain ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
CD79B,b-cell antigen receptor complex-associated protein beta chain ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
CD80,t-lymphocyte activation antigen cd80 ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
CD8A,t-cell surface glycoprotein cd8 alpha chain ,NA,NA,NA,NA,NA,NA,gene,NA
CD93,complement component c1q receptor ,extracellular matrix structural protein,NA,NA,NA,NA,NA,gene,NA
CDC42SE2,cdc42 small effector protein 2 ,NA,NA,NA,NA,NA,NA,gene,NA
CDH11,cadherin-11 ,cadherin,NA,NA,NA,NA,NA,gene,NA
CDH13,cadherin-13 ,cadherin,NA,NA,NA,NA,NA,gene,NA
CDH5,cadherin-5 ,cadherin,NA,NA,NA,NA,NA,gene,NA
CDO1,cysteine dioxygenase type 1 ,oxygenase,NA,NA,NA,NA,NA,gene,NA
CEACAM21,carcinoembryonic antigen-related cell adhesion molecule 21 ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
CEACAM4,carcinoembryonic antigen-related cell adhesion molecule 4 ,cell adhesion molecule,NA,NA,NA,NA,NA,gene,NA
CEP250-AS1,NA,NA,NA,NA,NA,NA,NA,gene,NA
CERS1,ceramide synthase 1 ,transferase,NA,NA,NA,NA,NA,gene,NA
CFB,complement factor b ,NA,NA,NA,NA,NA,NA,gene,NA
CFLAR,casp8 and fadd-like apoptosis regulator ,protease,NA,NA,NA,NA,NA,gene,NA
CFP,properdin ,NA,NA,NA,NA,NA,NA,gene,NA
CGNL1,cingulin-like protein 1 ,NA,NA,NA,NA,NA,NA,gene,NA
CHPF,chondroitin sulfate synthase 2 ,glycosyltransferase,NA,NA,NA,NA,NA,gene,NA
CHRDL1,chordin-like protein 1 ,NA,NA,NA,NA,NA,NA,gene,NA
CIITA,mhc class ii transactivator ,NA,NA,NA,NA,NA,NA,gene,NA
CLDN5,claudin-5 ,tight junction,NA,NA,NA,NA,NA,gene,NA
CLEC10A,c-type lectin domain family 10 member a ,membrane traffic protein,NA,NA,NA,NA,NA,gene,NA
CLEC14A,c-type lectin domain family 14 member a ,NA,NA,NA,NA,NA,NA,gene,NA
CLEC2D,c-type lectin domain family 2 member d ,defense/immunity protein,NA,NA,NA,NA,NA,gene,NA
CLEC3B,tetranectin ,intercellular signal molecule,NA,NA,NA,NA,NA,gene,NA
CLEC4A,c-type lectin domain family 4 member a ,membrane traffic protein,NA,NA,NA,NA,NA,gene,NA
CLEC4C,c-type lectin domain family 4 member c ,membrane traffic protein,NA,NA,NA,NA,NA,gene,NA
CLEC4D,c-type lectin domain family 4 member d ,membrane traffic protein,NA,NA,NA,NA,NA,gene,NA
CLEC6A,c-type lectin domain family 6 member a ,membrane traffic protein,NA,NA,NA,NA,NA,gene,NA
CLEC9A,c-type lectin domain family 9 member a ,NA,NA,NA,NA,NA,NA,gene,NA
CLECL1,NA,NA,NA,NA,NA,NA,NA,gene,NA
CLIC2,chloride intracellular channel protein 2 ,ion channel,NA,NA,NA,NA,NA,gene,NA
CLNK,cytokine-dependent hematopoietic cell linker ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
CMPK2,"ump-cmp kinase 2, mitochondrial ",nucleotide kinase,NA,NA,NA,NA,NA,gene,NA
CMTM4,cklf-like marvel transmembrane domain-containing protein 4 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
CNR2,cannabinoid receptor 2 ,g-protein coupled receptor,NA,NA,NA,NA,NA,gene,NA
CNTN4,contactin-4 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
COL12A1,collagen alpha-1,extracellular matrix structural protein,NA,NA,NA,NA,NA,gene,NA
COL14A1,collagen alpha-1,extracellular matrix structural protein,NA,NA,NA,NA,NA,gene,NA
COL18A1,collagen alpha-1,extracellular matrix structural protein,NA,NA,NA,NA,NA,gene,NA
COL4A2,collagen alpha-2,extracellular matrix structural protein,NA,NA,NA,NA,NA,gene,NA
COL4A4,collagen alpha-4,extracellular matrix structural protein,NA,NA,NA,NA,NA,gene,NA
COL6A1,collagen alpha-1,extracellular matrix structural protein,NA,NA,NA,NA,NA,gene,NA
COL8A1,collagen alpha-1,extracellular matrix structural protein,NA,NA,NA,NA,NA,gene,NA
COLEC12,collectin-12 ,extracellular matrix structural protein,NA,NA,NA,NA,NA,gene,NA
CORO1A,coronin-1a ,non-motor actin binding protein,NA,NA,NA,NA,NA,gene,NA
CORO1A-AS1,NA,NA,NA,NA,NA,NA,NA,gene,NA
COX7A1,"cytochrome c oxidase subunit 7a1, mitochondrial ",oxidase,NA,NA,NA,NA,NA,gene,NA
CPED1,cadherin-like and pc-esterase domain-containing protein 1 ,NA,NA,NA,NA,NA,NA,gene,NA
CR1,complement receptor type 1 ,complement component,NA,NA,NA,NA,NA,gene,NA
CR1L,complement component receptor 1-like protein ,complement component,NA,NA,NA,NA,NA,gene,NA
CREB3L1,cyclic amp-responsive element-binding protein 3-like protein 1 ,NA,NA,NA,NA,NA,NA,gene,NA
CRISPLD1,cysteine-rich secretory protein lccl domain-containing 1 ,defense/immunity protein,NA,NA,NA,NA,NA,gene,NA
CRISPLD2,cysteine-rich secretory protein lccl domain-containing 2 ,defense/immunity protein,NA,NA,NA,NA,NA,gene,NA
CRLF1,cytokine receptor-like factor 1 ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
CRTAM,cytotoxic and regulatory t-cell molecule ,NA,NA,NA,NA,NA,NA,gene,NA
CSF2RB,cytokine receptor common subunit beta ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
CST7,cystatin-f ,NA,NA,NA,NA,NA,NA,gene,NA
CTLA4,cytotoxic t-lymphocyte protein 4 ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
CTSS,cathepsin s ,cysteine protease,NA,NA,NA,NA,NA,gene,NA
CTSW,cathepsin w ,cysteine protease,NA,NA,NA,NA,NA,gene,NA
CXCL12,stromal cell-derived factor 1 ,NA,NA,NA,NA,NA,NA,gene,NA
CXCL9,c-x-c motif chemokine 9 ,chemokine,NA,NA,NA,NA,NA,gene,NA
CXCR2P1,NA,NA,NA,NA,NA,NA,NA,gene,NA
CXCR3,c-x-c chemokine receptor type 3 ,cell adhesion molecule,NA,NA,NA,NA,NA,gene,NA
CXCR4,c-x-c chemokine receptor type 4 ,cell adhesion molecule,NA,NA,NA,NA,NA,gene,NA
CXCR5,c-x-c chemokine receptor type 5 ,cell adhesion molecule,NA,NA,NA,NA,NA,gene,NA
CXCR6,c-x-c chemokine receptor type 6 ,cell adhesion molecule,NA,NA,NA,NA,NA,gene,NA
CYBB,cytochrome b-245 heavy chain ,oxidase,NA,NA,NA,NA,NA,gene,NA
CYBRD1,plasma membrane ascorbate-dependent reductase cybrd1 ,reductase,NA,NA,NA,NA,NA,gene,NA
CYLD-AS1,NA,NA,NA,NA,NA,NA,NA,gene,NA
CYS1,NA,NA,NA,NA,NA,NA,NA,gene,NA
CYSLTR1,cysteinyl leukotriene receptor 1 ,g-protein coupled receptor,NA,NA,NA,NA,NA,gene,NA
CYTH3,cytohesin-3 ,guanyl-nucleotide exchange factor,NA,NA,NA,NA,NA,gene,NA
CYTIP,cytohesin-interacting protein ,NA,NA,NA,NA,NA,NA,gene,NA
CYYR1,cysteine and tyrosine-rich protein 1 ,NA,NA,NA,NA,NA,NA,gene,NA
DBH,dopamine beta-hydroxylase ,hydroxylase,NA,NA,NA,NA,NA,gene,NA
DBH-AS1,NA,NA,NA,NA,NA,NA,NA,gene,NA
DCHS1,NA,NA,NA,NA,NA,NA,NA,gene,NA
